城市,90m2及以下,90-144m2,144m2以上
环比,同比,1-2月平均,环比,同比,1-2月平均,环比,同比,1-2月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
唐　　山,99.7,97.3,97.6,99.6,97.2,97.5,99.4,97.3,98.0
秦 皇 岛,99.4,97.4,97.4,99.7,96.7,96.8,99.8,96.8,96.8
包　　头,99.7,96.1,96.2,99.4,96.1,96.6,99.4,95.4,96.0
丹　　东,99.1,95.6,96.0,99.8,98.1,98.1,100.0,96.8,96.5
锦　　州,99.7,99.8,99.8,99.9,99.4,99.3,100.0,98.2,98.1
吉　　林,99.1,99.6,100.1,99.7,99.8,100.2,99.9,99.8,99.9
牡 丹 江,100.0,95.9,95.8,99.8,96.5,96.5,100.0,99.2,98.8
无　　锡,100.5,98.0,98.2,100.1,97.7,97.7,101.1,99.9,99.5
徐　　州,99.8,97.3,97.5,99.6,95.2,95.7,99.4,96.4,97.1
扬　　州,100.1,98.2,98.2,99.9,96.6,96.9,99.9,95.8,96.2
温　　州,99.1,96.9,97.6,99.6,96.4,96.7,99.2,97.2,97.8
金　　华,99.2,93.7,94.2,99.1,94.3,95.0,99.3,94.4,94.9
蚌　　埠,99.2,99.3,99.7,99.3,97.5,98.0,99.4,97.2,97.6
安　　庆,100.0,99.1,99.3,99.3,96.3,96.9,99.7,97.1,97.4
泉　　州,100.1,99.8,99.6,100.0,99.5,99.3,100.2,99.3,99.1
九　　江,99.4,96.7,97.3,99.2,96.3,96.7,99.5,96.9,97.3
赣　　州,100.0,97.7,97.7,99.7,96.0,96.1,100.1,97.0,96.8
烟　　台,99.9,98.6,99.0,99.8,97.8,98.1,98.9,98.1,98.9
济　　宁,100.0,97.2,97.2,99.7,97.2,97.3,98.6,96.1,96.6
洛　　阳,99.8,96.3,96.3,99.5,97.6,98.0,99.0,97.3,97.9
平 顶 山,100.0,97.4,97.3,99.8,97.9,97.9,99.9,98.0,98.0
宜　　昌,100.0,97.2,97.6,99.6,96.9,97.4,99.2,95.4,95.9
襄　　阳,98.2,97.0,98.0,99.3,97.4,97.9,99.1,96.7,97.3
岳　　阳,99.8,97.2,97.3,99.6,96.9,97.1,99.4,95.5,96.0
常　　德,99.4,95.8,96.1,99.3,96.5,97.0,99.8,97.2,97.5
韶　　关,100.0,96.6,96.9,99.3,96.4,96.9,99.2,96.5,97.0
湛　　江,99.3,97.4,98.4,98.9,95.6,96.9,99.2,96.0,96.8
惠　　州,99.8,96.3,96.4,100.0,94.6,94.8,100.1,95.6,95.6
桂　　林,99.9,96.5,96.8,99.5,96.5,97.1,99.0,96.4,97.2
北　　海,100.4,100.3,100.3,100.4,100.6,100.8,100.8,101.0,101.0
三　　亚,99.4,100.9,101.4,99.8,102.6,103.0,99.7,101.0,101.4
泸　　州,98.5,95.2,96.0,99.3,97.2,97.6,99.1,95.0,95.7
南　　充,99.7,98.4,98.4,99.8,98.4,98.3,99.5,99.2,99.2
遵　　义,99.3,98.1,98.9,99.6,98.3,98.9,100.0,98.9,99.0
大　　理,99.4,98.5,99.0,99.7,97.1,97.5,100.0,97.6,97.7
