城市,90m2及以下,90-144m2,144m2以上
环比,同比,1-2月平均,环比,同比,1-2月平均,环比,同比,1-2月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
唐　　山,99.1,93.4,93.7,99.7,94.9,94.8,99.5,93.4,93.4
秦 皇 岛,98.5,93.4,94.1,99.2,95.6,96.0,98.9,95.3,95.8
包　　头,99.5,95.4,95.5,98.8,94.3,94.9,99.3,94.7,94.9
丹　　东,99.5,94.8,94.8,99.9,93.3,93.3,100.0,95.1,95.1
锦　　州,99.8,94.8,94.8,99.1,95.3,95.5,99.0,95.1,95.5
吉　　林,99.8,93.4,93.2,99.4,93.4,93.5,99.7,94.5,94.4
牡 丹 江,99.4,94.2,94.2,99.5,93.6,93.7,98.7,93.9,94.5
无　　锡,100.6,94.4,94.6,100.0,95.5,96.0,100.2,94.4,94.8
徐　　州,99.6,88.9,89.6,99.4,90.1,90.6,98.9,90.6,91.5
扬　　州,99.0,94.0,94.3,99.9,92.7,92.8,99.8,94.2,94.3
温　　州,98.8,92.1,93.0,99.1,92.5,93.2,99.1,92.1,92.7
金　　华,98.9,93.6,94.1,99.0,93.7,94.1,99.2,94.5,94.8
蚌　　埠,98.7,94.4,95.0,99.3,95.7,96.2,100.0,96.9,97.0
安　　庆,99.4,95.7,96.0,99.2,93.8,94.2,98.4,95.4,96.4
泉　　州,99.5,92.5,92.6,99.6,94.0,94.0,99.7,94.7,94.7
九　　江,99.8,95.9,95.7,99.4,93.6,93.9,99.4,94.9,95.2
赣　　州,99.1,98.7,99.0,99.6,98.5,98.6,99.3,99.0,99.2
烟　　台,100.0,94.3,94.4,99.5,91.9,92.6,99.3,95.2,95.7
济　　宁,99.4,93.2,93.3,99.7,95.1,95.3,99.8,95.8,95.8
洛　　阳,99.1,93.7,94.0,98.8,94.1,94.6,99.6,94.7,94.8
平 顶 山,98.7,95.3,95.8,98.9,94.6,95.0,99.0,96.3,96.7
宜　　昌,99.9,96.0,95.9,99.4,93.5,93.7,99.2,94.4,94.7
襄　　阳,99.3,93.9,94.1,99.4,93.1,93.3,99.5,93.7,93.8
岳　　阳,99.8,96.1,96.6,99.7,95.9,96.4,99.6,95.2,95.7
常　　德,99.2,96.2,96.7,99.0,96.1,96.6,99.1,95.4,96.1
韶　　关,99.2,96.4,96.5,99.1,96.2,96.5,99.3,96.0,95.9
湛　　江,99.2,94.8,95.5,99.2,95.5,96.0,99.6,95.8,96.2
惠　　州,99.1,95.6,95.9,99.1,94.8,95.3,99.6,96.3,96.3
桂　　林,99.5,94.2,94.8,99.6,95.4,95.7,99.8,96.3,96.7
北　　海,99.7,96.0,96.0,99.4,96.3,96.6,99.2,97.3,97.6
三　　亚,99.8,98.6,98.7,99.2,99.2,99.7,99.8,98.5,98.6
泸　　州,100.0,96.3,96.4,99.7,97.6,97.9,99.8,97.8,97.9
南　　充,99.6,96.5,96.9,99.7,97.8,98.1,99.0,96.8,97.4
遵　　义,99.5,95.8,96.6,99.8,96.9,97.1,99.8,96.1,96.5
大　　理,99.4,96.6,96.8,99.3,96.1,96.3,99.1,96.4,96.8
