城市,90m2及以下,90-144m2,144m2以上
环比,同比,"1-6月
平均",环比,同比,1-6月平均,环比,同比,1-6月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
唐　　山,98.9,90.8,92.4,98.6,91.2,93.2,99.1,92.4,92.9
秦 皇 岛,98.2,90.4,92.5,98.5,92.1,94.3,98.4,91.2,94.0
包　　头,98.5,92.0,94.1,98.7,90.8,93.1,99.3,92.2,93.8
丹　　东,99.7,92.4,93.7,98.7,90.1,92.0,100.0,92.8,94.0
锦　　州,99.4,93.3,94.1,99.1,92.9,94.3,99.8,95.0,94.9
吉　　林,99.8,92.8,92.8,99.6,91.8,92.7,99.7,94.1,94.3
牡 丹 江,99.3,91.8,93.2,99.5,93.7,93.5,98.5,92.8,93.9
无　　锡,99.2,91.8,93.0,99.1,92.0,93.8,98.5,91.2,93.0
徐　　州,98.9,86.7,87.9,99.5,88.5,89.4,99.8,88.3,89.4
扬　　州,99.8,92.0,92.9,99.3,91.5,92.0,98.9,92.3,93.4
温　　州,99.3,89.8,91.3,99.1,89.1,91.0,99.0,89.4,91.3
金　　华,98.8,89.7,92.0,98.7,89.6,92.1,97.9,90.9,93.2
蚌　　埠,99.2,91.7,93.4,99.1,93.2,94.7,98.5,93.3,95.5
安　　庆,99.1,92.5,94.4,98.9,91.5,92.9,98.6,91.7,94.4
泉　　州,98.7,91.3,92.2,97.9,90.8,92.9,97.5,92.2,94.1
九　　江,99.4,92.2,94.2,99.5,90.4,92.2,99.1,91.0,93.3
赣　　州,99.1,93.0,96.3,98.8,94.2,96.9,99.3,94.3,97.1
烟　　台,98.1,89.9,92.6,98.4,89.4,91.2,98.2,91.7,94.2
济　　宁,99.9,91.1,92.0,99.2,92.1,93.8,99.3,92.8,94.4
洛　　阳,99.8,92.1,93.0,99.5,92.6,93.6,98.8,93.4,94.3
平 顶 山,99.2,93.2,94.4,99.6,93.6,94.3,99.1,93.4,94.9
宜　　昌,99.1,94.0,95.3,99.0,92.5,93.0,99.6,93.7,94.1
襄　　阳,99.2,90.7,92.4,99.2,89.3,91.5,99.4,90.5,92.1
岳　　阳,99.2,94.4,95.6,99.4,94.6,95.7,99.6,94.9,95.2
常　　德,99.1,92.0,94.5,99.1,92.0,94.4,99.2,91.6,93.8
韶　　关,98.7,92.3,94.8,99.2,93.4,95.2,99.3,93.2,94.6
湛　　江,99.8,92.7,94.0,99.5,92.3,94.2,99.3,91.2,93.6
惠　　州,98.9,92.7,94.6,98.8,91.9,93.6,98.0,93.0,94.8
桂　　林,99.4,92.5,93.4,99.8,92.8,94.1,99.1,92.5,94.6
北　　海,99.8,94.6,95.2,99.9,94.9,95.7,99.5,94.9,96.1
三　　亚,99.3,95.4,97.4,99.6,95.0,97.6,99.6,97.1,97.9
泸　　州,99.2,93.6,95.2,98.9,93.7,96.2,98.6,94.0,96.4
南　　充,98.7,92.9,95.4,98.4,93.5,96.4,98.6,92.8,95.5
遵　　义,99.3,94.8,95.4,99.4,95.9,96.2,98.7,94.0,95.2
大　　理,99.4,93.7,95.5,99.7,94.2,95.1,99.5,94.1,95.4
""
