城市,90m2及以下,90-144m2,144m2以上
环比,同比,"1-7月
平均",环比,同比,"1-7月
平均",环比,同比,"1-7月
平均"
"上月
=100",上年同月=100,上年同期=100,"上月
=100",上年同月=100,上年同期=100,"上月
=100",上年同月=100,"上年同期
=100"
北　　京,99.0,94.7,98.4,99.2,96.3,98.5,100.0,98.2,100.3
天　　津,99.7,98.2,99.7,99.9,99.0,100.1,99.8,98.9,100.6
石 家 庄,99.9,96.2,98.0,99.6,97.2,99.0,99.5,97.2,99.3
太　　原,100.2,99.2,99.8,99.8,99.2,100.0,100.3,99.5,99.5
呼和浩特,99.8,96.0,97.1,99.9,96.0,97.5,99.8,95.4,97.3
沈　　阳,99.7,95.7,96.9,99.9,95.9,97.0,99.9,96.6,97.0
大　　连,99.7,95.0,95.1,99.5,94.1,95.6,99.3,95.0,95.5
长　　春,99.9,95.7,96.8,99.8,97.0,97.5,100.2,97.4,97.8
哈 尔 滨,99.3,94.7,96.4,99.4,93.3,96.0,99.0,94.6,96.1
上　　海,100.8,103.9,103.4,100.0,103.3,103.5,100.1,106.0,105.7
南　　京,99.2,91.5,93.7,99.5,89.0,91.7,98.9,91.5,94.7
杭　　州,99.3,96.4,98.5,99.9,99.0,100.6,99.6,98.7,100.0
宁　　波,99.9,92.8,95.6,99.2,91.7,95.4,99.5,92.6,96.9
合　　肥,98.4,94.0,95.8,99.3,95.9,97.7,98.2,95.8,98.1
福　　州,98.9,92.5,95.1,98.8,93.1,95.0,99.2,94.7,96.4
厦　　门,98.9,87.9,91.5,98.7,90.5,93.6,98.5,90.2,93.3
南　　昌,99.4,93.2,95.1,99.4,93.3,95.3,99.6,94.0,95.3
济　　南,100.0,94.7,97.5,99.5,96.3,98.7,99.2,96.6,99.5
青　　岛,98.9,93.8,96.9,99.3,93.7,95.9,99.6,94.1,96.5
郑　　州,98.4,91.3,94.0,99.5,93.1,94.4,99.5,95.1,96.6
武　　汉,100.0,91.1,94.6,99.7,92.0,95.2,99.0,91.7,95.2
长　　沙,99.6,94.7,97.7,99.1,97.2,99.7,99.2,96.8,99.9
广　　州,99.0,89.5,92.9,99.3,90.1,93.3,98.6,91.0,93.0
深　　圳,98.9,92.4,94.2,99.2,91.6,93.5,99.1,92.6,93.7
南　　宁,99.3,92.5,94.6,99.5,92.7,94.8,99.2,92.8,94.7
海　　口,99.9,98.3,100.5,99.6,97.4,99.2,99.1,95.9,98.8
重　　庆,98.9,94.6,97.5,98.6,95.3,98.8,98.9,94.9,99.3
成　　都,99.4,98.3,101.1,99.2,97.7,100.6,99.9,99.1,102.6
贵　　阳,99.8,95.4,96.5,98.7,96.6,98.3,99.6,96.5,97.5
昆　　明,99.3,94.3,96.1,99.9,94.2,96.1,99.5,94.2,96.0
西　　安,100.0,102.8,103.6,100.2,102.8,103.8,100.1,105.1,105.5
兰　　州,98.1,90.9,94.2,99.0,92.6,96.1,98.1,91.4,95.9
西　　宁,100.0,92.3,93.6,99.5,93.2,95.0,99.7,92.9,93.2
银　　川,99.2,96.1,97.9,99.6,94.6,97.0,99.7,94.8,96.7
乌鲁木齐,99.3,95.1,97.1,99.5,96.9,98.1,99.4,95.2,96.6
