城市,90m2及以下,90-144m2,144m2以上
环比,同比,"1-7月
平均",环比,同比,"1-7月
平均",环比,同比,"1-7月
平均"
"上月
=100",上年同月=100,上年同期=100,"上月
=100",上年同月=100,上年同期=100,"上月
=100",上年同月=100,"上年同期
=100"
唐　　山,99.2,92.4,95.1,98.9,93.4,95.6,99.4,93.4,95.5
秦 皇 岛,99.0,93.5,95.4,99.4,94.4,95.7,99.0,93.0,95.1
包　　头,99.5,94.0,95.1,99.1,94.2,95.3,98.8,92.2,94.3
丹　　东,100.0,94.0,94.7,99.9,95.0,96.9,99.1,95.5,96.3
锦　　州,99.4,94.9,97.8,99.8,97.1,98.4,98.8,94.3,96.5
吉　　林,99.9,96.3,98.0,100.0,96.5,97.8,100.3,98.4,98.9
牡 丹 江,98.2,93.7,95.4,98.8,92.7,95.2,99.7,92.7,96.4
无　　锡,99.4,95.8,96.8,99.9,96.9,96.8,99.2,97.1,98.3
徐　　州,99.7,90.5,93.9,99.4,90.3,93.0,99.6,91.1,94.2
扬　　州,99.3,94.4,96.3,99.4,93.0,94.9,99.9,92.7,94.3
温　　州,98.4,91.2,94.7,98.1,91.4,94.6,97.9,91.9,95.6
金　　华,98.6,90.7,92.4,98.4,90.0,92.4,98.9,91.8,93.2
蚌　　埠,100.0,96.4,97.7,99.5,94.1,96.0,99.2,95.0,96.3
安　　庆,100.0,97.6,98.7,99.2,92.3,94.3,98.5,92.5,95.3
泉　　州,98.3,96.3,98.9,98.6,95.4,98.3,99.0,96.9,98.7
九　　江,99.6,92.0,94.4,99.1,90.7,93.9,99.1,92.2,95.1
赣　　州,98.8,93.9,96.7,98.4,93.8,95.1,99.1,93.0,95.6
烟　　台,99.6,93.7,95.8,99.3,95.1,96.5,99.9,92.8,95.8
济　　宁,98.7,92.6,95.5,99.8,94.5,95.9,98.8,92.6,95.0
洛　　阳,99.3,94.2,95.6,99.0,94.4,96.3,99.3,94.2,96.1
平 顶 山,99.6,96.5,97.1,99.9,97.0,97.4,99.9,96.9,97.5
宜　　昌,99.8,98.0,97.0,99.5,95.6,96.1,99.8,95.4,94.9
襄　　阳,99.8,93.4,95.4,99.1,93.8,95.8,99.7,93.8,95.5
岳　　阳,99.1,94.4,95.9,99.1,94.3,95.8,99.4,94.1,94.6
常　　德,98.9,91.6,93.9,98.8,92.3,94.8,98.2,92.0,95.0
韶　　关,99.0,96.5,96.5,99.3,92.5,94.6,98.8,93.4,95.1
湛　　江,99.5,92.0,94.9,98.5,89.6,93.2,99.4,90.5,93.4
惠　　州,99.5,93.9,94.4,99.7,93.0,93.4,99.0,92.5,94.1
桂　　林,99.9,96.6,96.4,99.7,95.7,96.1,100.2,95.7,96.0
北　　海,99.7,96.6,98.7,99.6,96.8,98.8,99.7,95.8,99.0
三　　亚,99.2,97.6,99.4,99.3,98.5,101.0,99.7,97.3,99.1
泸　　州,99.8,92.5,93.4,99.5,93.4,95.3,99.4,93.2,94.1
南　　充,99.0,95.6,97.4,99.4,97.2,97.8,100.0,96.1,97.8
遵　　义,99.1,96.0,97.5,99.8,96.5,97.6,99.6,96.6,98.2
大　　理,99.3,95.2,97.6,99.7,96.6,97.1,98.8,95.4,97.1
