城市,90m2及以下,90-144m2,144m2以上
环比,同比,1-3月平均,环比,同比,1-3月平均,环比,同比,1-3月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
北　　京,99.6,92.0,93.4,99.5,94.8,96.4,99.7,95.6,96.0
天　　津,99.4,96.9,97.6,99.2,95.3,96.4,99.3,95.1,96.1
石 家 庄,99.8,97.0,97.5,99.7,97.0,97.6,99.9,97.6,98.0
太　　原,100.1,95.9,96.1,99.7,96.2,96.9,99.9,96.4,97.0
呼和浩特,99.6,94.1,94.3,99.3,94.6,95.2,99.4,94.0,94.5
沈　　阳,99.5,93.0,93.7,99.2,93.6,94.4,99.1,93.5,94.4
大　　连,99.0,93.4,94.4,99.5,92.6,93.3,99.4,93.1,94.1
长　　春,99.6,93.9,94.4,99.1,94.1,94.5,99.7,93.8,94.1
哈 尔 滨,99.2,93.6,94.7,99.1,94.6,95.5,99.8,93.7,94.6
上　　海,99.8,92.3,93.4,99.7,93.4,94.6,99.6,94.5,95.6
南　　京,99.4,90.6,91.6,99.4,90.0,91.1,99.9,91.6,92.1
杭　　州,99.8,94.5,95.4,99.2,94.9,96.2,99.5,95.8,96.7
宁　　波,99.7,92.8,93.4,99.3,92.6,93.7,98.6,92.8,94.0
合　　肥,99.7,93.0,93.8,99.6,93.9,94.5,99.9,94.4,95.2
福　　州,100.0,92.7,93.3,100.1,93.4,93.8,100.3,93.3,93.7
厦　　门,99.4,91.1,91.8,99.6,90.9,91.3,98.6,88.7,90.3
南　　昌,99.9,94.6,94.6,99.8,94.7,95.1,100.2,94.1,94.0
济　　南,99.0,93.6,94.6,99.2,95.5,96.7,99.5,96.3,97.1
青　　岛,99.7,93.2,93.7,99.1,93.2,94.0,99.8,92.8,93.7
郑　　州,99.7,90.9,91.7,99.5,92.2,93.2,99.2,93.2,94.2
武　　汉,98.8,91.5,93.0,99.4,90.7,92.1,99.1,91.5,92.7
长　　沙,98.5,96.1,97.3,99.0,95.6,96.8,99.2,95.8,97.0
广　　州,99.1,91.4,92.4,98.8,91.4,92.7,99.2,91.7,92.9
深　　圳,98.7,92.3,93.6,99.3,92.4,93.4,99.9,94.2,95.0
南　　宁,99.3,92.7,93.5,99.8,93.8,94.4,99.3,92.4,93.0
海　　口,99.2,92.6,93.5,99.2,92.7,93.5,99.5,92.3,93.2
重　　庆,99.6,93.0,93.5,99.7,93.2,93.8,99.9,92.5,93.1
成　　都,99.2,95.9,97.6,99.4,95.3,97.0,99.0,95.8,97.2
贵　　阳,99.2,92.9,93.8,99.8,95.5,96.2,99.4,93.3,94.6
昆　　明,99.5,96.7,97.3,99.3,96.0,96.6,99.8,98.2,98.2
西　　安,99.7,95.7,96.8,99.7,95.2,96.3,99.6,98.0,99.0
兰　　州,99.5,93.0,93.9,98.9,93.4,94.2,99.4,94.4,95.1
西　　宁,99.5,96.7,97.3,99.9,95.8,96.2,99.9,95.2,95.9
银　　川,99.5,95.5,96.5,99.5,95.6,96.7,99.2,95.5,96.6
乌鲁木齐,99.9,96.3,96.4,99.0,95.3,95.9,99.6,95.5,95.8
