城市,90m2及以下,90-144m2,144m2以上
环比,同比,1-3月平均,环比,同比,1-3月平均,环比,同比,1-3月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
北　　京,99.6,100.3,100.8,100.0,99.8,100.0,100.3,101.7,101.7
天　　津,99.3,100.1,101.3,99.9,100.4,101.2,99.8,100.9,101.9
石 家 庄,99.9,99.5,99.8,99.9,99.8,100.5,99.8,100.7,101.0
太　　原,100.5,100.3,100.1,100.4,100.3,100.5,100.2,99.6,99.5
呼和浩特,99.9,97.6,98.2,99.7,98.1,98.8,99.4,97.6,98.8
沈　　阳,99.4,97.3,98.2,99.7,97.4,98.0,99.9,97.0,97.9
大　　连,99.7,95.2,95.4,99.6,96.4,96.5,99.5,95.8,95.6
长　　春,99.3,97.3,98.0,99.5,97.6,98.0,99.7,98.2,98.9
哈 尔 滨,99.5,97.2,97.9,99.5,97.1,98.1,99.9,97.1,97.4
上　　海,100.3,103.1,103.2,100.3,103.6,103.7,100.8,105.6,105.3
南　　京,99.9,94.6,95.4,98.5,92.6,94.1,98.7,95.0,96.9
杭　　州,100.2,99.3,99.7,100.0,101.6,101.8,99.8,100.6,101.1
宁　　波,99.4,96.9,98.1,99.3,97.1,98.5,99.7,99.5,100.3
合　　肥,99.3,96.1,96.9,99.8,98.5,99.0,100.0,98.8,99.3
福　　州,99.9,95.9,96.9,99.9,95.7,96.3,99.7,96.9,97.6
厦　　门,99.5,93.0,93.9,99.1,94.8,95.9,99.7,94.5,95.3
南　　昌,99.3,95.7,97.1,99.6,96.0,96.8,99.6,95.8,96.6
济　　南,99.1,98.7,100.2,99.6,99.4,100.5,99.9,100.3,101.3
青　　岛,99.8,98.5,98.9,99.5,96.8,97.7,99.9,97.3,98.1
郑　　州,99.4,94.7,96.5,99.0,94.6,96.0,100.0,97.2,98.0
武　　汉,99.6,96.7,97.9,99.1,96.4,98.1,99.3,96.1,98.1
长　　沙,98.9,99.2,100.2,99.7,100.8,101.5,99.5,101.0,101.8
广　　州,99.4,94.7,95.5,99.1,94.7,95.7,99.7,93.8,94.4
深　　圳,99.7,95.1,95.9,99.6,94.2,95.0,99.5,94.3,94.8
南　　宁,99.7,95.4,96.5,99.0,95.4,97.1,99.6,95.7,96.7
海　　口,99.6,101.5,102.4,99.9,100.0,100.5,100.0,99.6,100.7
重　　庆,100.6,99.0,99.6,100.2,100.7,101.2,100.4,101.1,102.3
成　　都,99.7,102.0,103.1,99.8,101.8,102.7,100.0,104.5,105.1
贵　　阳,100.0,97.4,97.8,99.7,98.6,99.3,99.4,98.1,98.6
昆　　明,99.3,96.5,97.4,99.1,96.3,98.0,99.1,96.2,98.0
西　　安,100.5,104.3,103.8,100.3,104.4,104.5,100.5,105.8,105.7
兰　　州,100.1,94.7,95.6,100.0,97.4,98.3,99.7,98.0,98.4
西　　宁,99.7,94.4,94.9,99.8,95.9,96.4,99.3,93.2,93.6
银　　川,100.0,98.4,99.2,99.7,98.3,99.2,99.2,97.4,98.9
乌鲁木齐,99.6,97.8,98.6,99.8,98.4,99.2,99.3,97.1,98.0
