城市,90m2及以下,90-144m2,144m2以上
环比,同比,1-5月平均,环比,同比,1-5月平均,环比,同比,1-5月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
北　　京,98.2,96.8,99.6,99.7,97.9,99.3,98.9,99.3,101.0
天　　津,99.0,98.4,100.3,99.7,99.5,100.6,99.6,99.8,101.2
石 家 庄,99.2,96.2,98.7,99.4,97.9,99.7,99.3,97.8,100.0
太　　原,100.1,99.6,100.1,100.1,99.5,100.2,100.3,99.4,99.6
呼和浩特,99.5,96.3,97.5,99.5,96.9,98.2,99.6,96.5,98.0
沈　　阳,99.4,96.1,97.5,99.6,96.3,97.4,99.7,96.1,97.3
大　　连,99.6,95.1,95.3,99.5,95.7,96.2,99.2,95.5,95.6
长　　春,99.7,96.5,97.4,99.9,97.4,97.7,99.9,97.0,98.2
哈 尔 滨,99.0,95.3,97.0,99.4,95.0,97.0,99.9,95.6,96.7
上　　海,100.7,103.8,103.3,100.5,103.4,103.6,100.6,106.1,105.5
南　　京,99.1,92.8,94.5,98.5,90.2,92.8,99.7,93.8,95.6
杭　　州,99.1,98.0,99.3,99.4,100.0,101.2,99.6,99.5,100.6
宁　　波,99.3,94.3,96.8,98.6,93.8,96.9,98.7,94.8,98.6
合　　肥,99.8,95.3,96.3,99.7,97.2,98.3,99.6,97.5,98.8
福　　州,98.7,94.1,96.1,99.2,94.1,95.6,99.7,95.8,96.9
厦　　门,98.5,90.5,92.8,98.9,92.4,94.7,99.1,92.7,94.4
南　　昌,99.6,93.6,95.9,99.4,94.3,96.0,99.8,94.4,95.9
济　　南,98.9,95.3,98.6,99.5,97.6,99.5,99.2,98.4,100.4
青　　岛,98.8,95.9,97.9,99.1,94.9,96.8,99.8,95.9,97.4
郑　　州,99.8,92.6,95.0,99.2,93.2,95.0,99.9,95.8,97.1
武　　汉,98.2,92.2,96.0,98.5,93.3,96.5,98.7,93.4,96.5
长　　沙,98.3,95.7,98.9,99.1,98.6,100.6,99.2,98.8,100.8
广　　州,98.7,91.1,94.1,98.5,91.8,94.4,99.1,92.2,93.7
深　　圳,99.1,92.7,94.8,99.3,92.6,94.1,98.8,92.8,94.2
南　　宁,98.7,92.7,95.4,98.5,92.7,95.7,98.5,92.6,95.4
海　　口,99.9,99.2,101.3,99.8,98.7,99.9,100.0,98.3,99.8
重　　庆,98.8,96.2,98.4,98.7,97.4,99.9,98.4,97.6,100.7
成　　都,99.4,99.8,102.1,99.7,99.6,101.6,98.8,101.4,103.9
贵　　阳,99.2,95.3,97.0,99.6,97.5,98.8,99.1,96.7,98.0
昆　　明,98.5,95.4,96.7,98.5,94.5,96.8,98.6,94.4,96.7
西　　安,99.5,103.3,103.8,99.9,103.5,104.1,100.1,105.1,105.6
兰　　州,99.7,94.5,95.2,99.5,95.3,97.3,99.2,94.9,97.3
西　　宁,99.8,92.9,94.2,99.6,94.4,95.7,99.7,93.0,93.4
银　　川,99.3,96.9,98.4,99.2,95.8,98.0,99.1,94.9,97.5
乌鲁木齐,99.7,96.3,97.8,99.9,97.4,98.5,99.4,95.3,97.1
