城市,90m2及以下,90-144m2,144m2以上
环比,同比,1-5月平均,环比,同比,1-5月平均,环比,同比,1-5月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
唐　　山,98.3,91.0,92.7,98.4,91.2,93.5,98.6,91.8,93.0
秦 皇 岛,99.2,91.7,92.9,99.0,92.9,94.7,99.2,93.0,94.5
包　　头,99.4,93.1,94.5,98.8,91.7,93.6,98.6,92.5,94.2
丹　　东,98.9,92.4,94.0,98.3,90.4,92.3,98.7,92.6,94.2
锦　　州,99.6,93.3,94.2,99.4,93.4,94.6,99.9,94.7,94.9
吉　　林,99.0,92.1,92.8,98.8,91.7,92.9,99.4,93.9,94.3
牡 丹 江,98.7,92.1,93.4,99.6,93.3,93.5,99.6,93.6,94.2
无　　锡,99.2,91.8,93.2,99.2,92.2,94.1,99.7,92.0,93.3
徐　　州,99.2,86.8,88.1,98.8,88.3,89.6,98.1,87.6,89.6
扬　　州,100.0,92.3,93.1,99.5,91.4,92.2,99.4,92.8,93.6
温　　州,99.4,90.3,91.6,98.9,89.5,91.4,99.0,90.4,91.7
金　　华,98.5,90.5,92.5,98.2,90.4,92.6,98.9,92.5,93.7
蚌　　埠,98.6,92.0,93.7,99.5,93.6,95.0,99.2,94.6,96.0
安　　庆,98.6,93.1,94.8,98.8,92.1,93.2,98.6,93.0,94.9
泉　　州,99.7,92.1,92.4,98.6,92.1,93.3,99.2,94.0,94.4
九　　江,98.7,92.6,94.6,98.8,90.6,92.6,99.0,91.7,93.7
赣　　州,98.8,94.2,97.0,98.9,95.5,97.5,98.9,95.5,97.7
烟　　台,99.1,91.5,93.2,99.3,90.4,91.5,98.8,93.0,94.7
济　　宁,98.8,90.5,92.1,98.7,92.7,94.1,99.1,93.3,94.7
洛　　阳,98.9,92.2,93.2,99.0,92.6,93.8,98.9,94.1,94.4
平 顶 山,99.3,93.4,94.6,99.3,93.6,94.4,99.5,93.5,95.1
宜　　昌,98.5,94.5,95.5,98.8,92.3,93.2,98.8,93.5,94.2
襄　　阳,99.0,91.0,92.7,98.8,89.9,92.0,98.9,90.6,92.5
岳　　阳,99.5,94.8,95.9,99.3,95.1,95.9,99.6,94.9,95.2
常　　德,98.8,92.4,95.0,98.8,92.5,94.9,99.0,91.8,94.2
韶　　关,99.5,93.2,95.4,99.4,94.0,95.5,98.7,93.0,94.9
湛　　江,99.4,92.4,94.2,98.8,92.6,94.6,99.9,91.8,94.1
惠　　州,98.6,93.2,95.0,98.8,92.2,93.9,99.4,93.9,95.2
桂　　林,99.8,92.2,93.6,99.6,92.6,94.4,99.4,93.0,95.1
北　　海,99.4,94.1,95.3,99.5,94.8,95.8,99.4,94.8,96.4
三　　亚,99.4,96.4,97.8,98.8,95.5,98.1,100.0,97.5,98.1
泸　　州,99.2,94.2,95.6,98.7,94.4,96.6,99.0,95.0,96.9
南　　充,99.0,94.2,95.9,98.9,95.2,97.0,98.7,94.1,96.1
遵　　义,99.4,94.6,95.5,100.0,96.0,96.3,99.8,95.1,95.5
大　　理,98.3,94.0,95.9,98.6,93.6,95.3,98.7,94.0,95.6
""
